"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,4.31502435025673,0.534,0.032,0,"19","NPFFR2"
0,4.34598354790687,0.315,0.013,0,"19","AC015631.1"
0,4.9329621963198,0.543,0.032,0,"20","AC008459.1"
0,5.24372917731444,0.552,0.041,0,"20","LINC01915"
0,8.31811418044594,0.462,0.003,0,"20","AL353811.1"
0,5.68497035490202,0.4,0.017,0,"20","LINC02653"
0,5.12822382227651,0.291,0.007,0,"20","PKP1"
0,7.05943815429312,0.933,0.057,0,"21","NPSR1-AS1"
0,6.249997868492,0.823,0.034,0,"21","IFNG-AS1"
0,6.96047793517819,0.454,0.017,0,"21","NPSR1"
0,7.93532842753383,0.36,0.001,0,"21","CD200R1L"
0,6.32562332155684,0.263,0.003,0,"21","LINC02042"
0,3.25851827741386,0.416,0.027,0,"22","SH3TC1"
0,3.22308834349023,0.371,0.02,0,"22","AL034397.3"
4.29121905147568e-234,3.11447738078883,0.362,0.041,1.46660993522284e-229,"22","AC012150.1"
2.59816768353879e-227,3.10582086961102,0.325,0.034,8.87975769203051e-223,"22","GPR34"
4.52781686951915e-216,3.18883526076708,0.269,0.024,1.54747197149556e-211,"22","FAM177B"
0,5.00470556950794,0.765,0.044,0,"23","NPNT"
0,5.82989056927893,0.721,0.028,0,"23","AC046195.2"
0,5.93299781092249,0.654,0.017,0,"23","COL15A1"
0,5.43419636094854,0.527,0.018,0,"23","LINC00943"
0,6.6258037068277,0.286,0.004,0,"23","NOG"
0,10.3653620963794,0.373,0.002,0,"24","CLDN5"
0,10.0459184273367,0.369,0.001,0,"24","TBX3"
0,9.82235470721819,0.335,0.001,0,"24","COL1A2"
0,10.2353808396594,0.296,0.001,0,"24","CAVIN2"
0,9.96572467363592,0.258,0.001,0,"24","LRRC32"
0,7.72728912328263,0.773,0.015,0,"25","C6orf141"
0,8.51032330285835,0.585,0.003,0,"25","AL121974.1"
0,8.65854796233203,0.531,0.003,0,"25","CASC20"
0,9.34395182796528,0.362,0.001,0,"25","AP001109.1"
0,10.4475856879636,0.319,0.001,0,"25","EPYC"
7.58795764714354e-202,1.98843884226161,0.689,0.099,2.59333628506425e-197,"26","TRIM59"
1.51663776404541e-178,1.96978988161534,0.673,0.105,5.18341288617801e-174,"26","AC016597.1"
4.36387417815281e-157,1.97383640780697,0.685,0.121,1.49144127786729e-152,"26","SELENOP"
6.72523583608312e-97,1.98174674763386,0.331,0.045,2.29848385169813e-92,"26","KIF19"
3.08607690494785e-40,1.96554700836437,0.271,0.065,1.05472850380403e-35,"26","CPB2"
