"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","cell_type"
6.71584204802328e-39,-0.738457845403467,0.464,0.583,2.29527333675292e-34,"KCNMB2-AS1","L2/3 IT"
9.97562150751212e-39,-0.876162926293581,0.205,0.325,3.40936816262242e-34,"AC008056.1","L2/3 IT"
1.79946196467912e-38,-0.466978147328062,0.743,0.808,6.15002115668383e-34,"AC009041.2","L2/3 IT"
2.54572508779606e-38,-0.539484632276447,0.626,0.72,8.70052463256059e-34,"RAB11A","L2/3 IT"
4.82736218768746e-38,-1.0898973654299,0.155,0.268,1.64984757488594e-33,"IL7","L2/3 IT"
2.56917236788695e-37,-1.08643817228366,0.188,0.305,8.78066040172722e-33,"AL592043.1","L2/3 IT"
3.85783437602586e-37,0.357011445388611,0.942,0.914,1.31849205469436e-32,"CAMK2N1","L2/3 IT"
6.80114877666776e-37,0.854415269434001,0.403,0.282,2.32442861740174e-32,"MT-ATP8","L2/3 IT"
1.14428084530474e-36,-0.859787737410038,0.213,0.331,3.91080864499801e-32,"AC007098.1","L2/3 IT"
3.27779114544842e-36,-0.868937707482319,0.242,0.36,1.12025067977991e-31,"AC077690.1","L2/3 IT"
4.84646128273284e-36,-0.982155669594193,0.143,0.251,1.6563750725996e-31,"AC004039.1","L2/3 IT"
1.03241175124553e-35,-0.854547669474694,0.236,0.354,3.52847364223185e-31,"MYCBP2-AS1","L2/3 IT"
1.19616129201183e-35,-0.543244750870406,0.573,0.665,4.08812044770884e-31,"AL391807.1","L2/3 IT"
2.12069285272433e-35,-0.607997675336159,0.288,0.416,7.24789196275595e-31,"AC015943.1","L2/3 IT"
2.50800050183276e-35,0.416925120408817,0.839,0.798,8.57159331511381e-31,"NPTX1","L2/3 IT"
2.55177864959763e-35,-0.496964997238252,0.513,0.626,8.72121389072981e-31,"LINC00513","L2/3 IT"
6.26059533136978e-35,-0.836074674559545,0.306,0.427,2.13968366640225e-30,"CHRM3-AS2","L2/3 IT"
1.17885488563172e-34,-1.09043790564471,0.155,0.263,4.02897234262353e-30,"CHST9","L2/3 IT"
3.44386254846591e-34,-0.662222893316468,0.257,0.382,1.17700890318919e-29,"LINC02552","L2/3 IT"
7.80847822352548e-34,-0.721378059566227,0.36,0.478,2.6687036024543e-29,"SLC8A1-AS1","L2/3 IT"
8.69844568653522e-34,-0.730067098253219,0.367,0.486,2.97286778228714e-29,"SCN1A-AS1","L2/3 IT"
8.92517073605924e-34,-0.429445826582745,0.729,0.788,3.05035560246297e-29,"WSB1","L2/3 IT"
1.51916966867671e-33,0.296471276678802,0.947,0.921,5.19206617663641e-29,"CALN1","L2/3 IT"
1.81057011018395e-33,-1.17742333293574,0.173,0.279,6.1879854655757e-29,"AL583808.1","L2/3 IT"
2.11452969858677e-33,-0.932064908517116,0.196,0.306,7.22682815086e-29,"PPFIA2-AS1","L2/3 IT"
6.99680090437638e-33,-0.909050044344987,0.156,0.261,2.39129664508872e-28,"AP001011.1","L2/3 IT"
1.19992151028569e-32,-0.958862401130698,0.184,0.291,4.10097174570342e-28,"AC027018.1","L2/3 IT"
1.26613039862644e-32,-0.849772946475106,0.197,0.309,4.32725386338558e-28,"CELF2-AS2","L2/3 IT"
1.34169273447591e-32,-0.629724935013159,0.293,0.407,4.58550325861831e-28,"AC093879.1","L2/3 IT"
2.00715496507536e-32,-0.861580548732152,0.215,0.326,6.85985352413806e-28,"AC104781.2","L2/3 IT"
