"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Genetic Information Processing","Translation","hsa03010","Ribosome","12/44","223/9378",0.0538116591928251,11.469221361598,10.863306620491,2.62285616662688e-10,3.09497027661971e-08,3.09497027661971e-08,"6171/2197/6191/6152/6201/6202/6230/6154/6229/6139/6156/6144",12
"Human Diseases","Infectious disease: viral","hsa05171","Coronavirus disease - COVID-19","12/44","239/9378",0.0502092050209205,10.7014073792316,10.4305870415157,5.8405952394934e-10,3.4459511913011e-08,3.4459511913011e-08,"6171/2197/6191/6152/6201/6202/6230/6154/6229/6139/6156/6144",12
