"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0050808","synapse organization","66/1332","493/18888",0.133874239350913,1.89836083548051,5.56730725624066,3.50399403938168e-07,0.00182172650107454,0.00173798104353331,"CLSTN2/ADGRL1/NRXN2/PTPRT/LRRC4B/NEGR1/CRK/CACNG2/EFNA5/LHFPL4/INSR/SEZ6L/SSH1/SYNDIG1/NEUROD2/ZMYND8/CRKL/FRMPD4/LRRN3/SNCA/MAPT/EPHB2/CTNNA2/DLG4/LRFN2/CNTN5/LARGE1/ARHGAP22/SEMA4A/PDZRN3/GABRG3/SDK2/SDK1/SHANK1/LZTS3/SLITRK3/CDH6/CNTNAP1/LRRC4C/EEF2K/DRD1/ABHD17A/SPTBN2/KIF1A/PPFIA4/GRIPAP1/PTK7/SDCBP/LINGO2/VPS35/ERBB4/SLITRK1/CAMKV/WNT7A/LRP8/TUBB/PFN1/RAB39B/ACHE/ADAM10/DVL1/DMPK/RER1/LRFN4/FILIP1/DCTN1",66
"GO:0050803","regulation of synapse structure or activity","38/1332","249/18888",0.152610441767068,2.16404356163392,5.09305561917986,5.36147966466616e-06,0.0129652096869169,0.0123691940848448,"CLSTN2/ADGRL1/PTPRT/LRRC4B/NEGR1/EFNA5/LHFPL4/SYNDIG1/NEUROD2/ZMYND8/FRMPD4/LRRN3/SNCA/EPHB2/CTNNA2/LRFN2/ARHGAP22/SEMA4A/LZTS3/SLITRK3/CNTNAP1/EEF2K/ABHD17A/KIF1A/GRIPAP1/LINGO2/VPS35/SLITRK1/CAMKV/SLC17A7/WNT7A/LRP8/TUBB/ADAM10/DVL1/DMPK/LRFN4/DCTN1",38
"GO:0050807","regulation of synapse organization","37/1332","243/18888",0.152263374485597,2.15912208504801,5.00924115574934,7.48136739002709e-06,0.0129652096869169,0.0123691940848448,"CLSTN2/ADGRL1/PTPRT/LRRC4B/NEGR1/EFNA5/LHFPL4/SYNDIG1/NEUROD2/ZMYND8/FRMPD4/LRRN3/SNCA/EPHB2/CTNNA2/LRFN2/ARHGAP22/SEMA4A/LZTS3/SLITRK3/CNTNAP1/EEF2K/ABHD17A/KIF1A/GRIPAP1/LINGO2/VPS35/SLITRK1/CAMKV/WNT7A/LRP8/TUBB/ADAM10/DVL1/DMPK/LRFN4/DCTN1",37
"GO:0043484","regulation of RNA splicing","30/1332","186/18888",0.161290322580645,2.28712583551293,4.85908246791451,1.72311872862544e-05,0.0210378283917129,0.0200707114489125,"RBFOX3/ZBTB7A/CELF4/CELF2/KHDRBS2/TAF12/RBM20/FUS/FASTK/HNRNPL/RBM12/HNRNPH3/POLR2A/PRPF19/RBMXL1/HNRNPH2/RNPS1/SRPK1/ZNF326/UPF1/HSPA1A/SNW1/SRSF6/RBM15/JMJD6/TRA2B/CLK2/UPF3A/RBM5/TIA1",30
"GO:0050684","regulation of mRNA processing","24/1332","134/18888",0.17910447761194,2.53973376361436,4.92687896050801,2.0294067215061e-05,0.0210378283917129,0.0200707114489125,"RBFOX3/ZBTB7A/CELF4/CELF2/KHDRBS2/RBM20/CDK11A/HNRNPL/HDAC7/PRPF19/DHX9/RBMXL1/RNPS1/SRPK1/UPF1/SNW1/SRSF6/RBM15/JMJD6/TRA2B/AHCYL1/UPF3A/RBM5/TIA1",24
"GO:0035418","protein localization to synapse","17/1332","78/18888",0.217948717948718,3.09055209055209,5.09606212150236,2.42790864301361e-05,0.0210378283917129,0.0200707114489125,"NRXN2/CACNG2/LHFPL4/CACNG7/MAPT/DLG4/RAB27B/SHANK1/SLITRK3/STX1B/GRIPAP1/MPP4/VPS35/ERBB4/WNT7A/ADAM10/DVL1",17
"GO:1902115","regulation of organelle assembly","33/1332","223/18888",0.147982062780269,2.09841231365895,4.54490326238954,4.1058501414059e-05,0.0304947355502418,0.0290928810019618,"LRRC4B/CROCC/ARHGAP35/MARK4/EPHB2/IFT140/CENPJ/SEPTIN9/STYXL1/MNS1/ADAMTS16/CHMP6/HSPA1B/SPICE1/CDK10/SPTBN2/ULK1/SDCBP/WIPI1/STAM/HSPA1A/ODF2/CHMP4A/DRG1/ATMIN/EHMT2/RAB5A/DYNLL1/VPS4B/G3BP2/PRKAA1/LRFN4/SNX4",33
"GO:0007416","synapse assembly","31/1332","208/18888",0.149038461538462,2.11339223839224,4.44746191200366,6.04728688939186e-05,0.0392998056724353,0.0374931787142295,"CLSTN2/NRXN2/LRRC4B/NEGR1/CRK/EFNA5/LHFPL4/SYNDIG1/CRKL/LRRN3/SNCA/EPHB2/CNTN5/LARGE1/SEMA4A/GABRG3/SDK2/SDK1/SLITRK3/EEF2K/DRD1/SPTBN2/SDCBP/LINGO2/VPS35/ERBB4/SLITRK1/WNT7A/ACHE/DVL1/LRFN4",31
"GO:0042391","regulation of membrane potential","54/1332","446/18888",0.121076233183857,1.7168828020846,4.22019383628779,6.95311245087614e-05,0.0401658129245612,0.0383193752848285,"KCNQ5/KCNH7/BNIP3L/CELF4/OPRD1/CACNG2/CRTC1/CACNA1I/SSH1/KCNK12/GRM1/RGS7BP/ZMYND8/CACNA1C/KCND3/SNCA/GRIK4/MAPT/KCNQ3/DLG4/KCNK10/SLC9A1/GJC1/KCNK2/GRIK3/GABRG3/GRIN3A/MAPK8IP2/RIMS4/SHANK1/BID/CNTNAP1/DRD1/ACTN2/GNA11/BIN1/STX1B/KCNK9/SLC39A8/KCNA1/KCTD7/WNT7A/HCN2/BAD/ATP1A1/ADRB1/GSK3A/CHRNA4/STOX1/DVL1/DYNLL1/DMPK/SCN1B/HCN3",54
"GO:0000381","regulation of alternative mRNA splicing, via spliceosome","13/1332","55/18888",0.236363636363636,3.35167895167895,4.81083475883608,8.94266006533696e-05,0.0403050128899369,0.0384521761750504,"RBFOX3/ZBTB7A/CELF4/CELF2/KHDRBS2/RBM20/HNRNPL/RNPS1/SRSF6/RBM15/TRA2B/RBM5/TIA1",13
