"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Human Diseases","Substance dependence","hsa05032","Morphine addiction","4/13","91/9378",0.043956043956044,31.70921386306,10.9673427349716,5.54876916152499e-06,0.000460547840406575,0.000373811817197473,"10846/5140/2567/3763",4
"Environmental Information Processing","Signal transduction","hsa04024","cAMP signaling pathway","4/13","226/9378",0.0176991150442478,12.7678692988428,6.67181189575514,0.000197898186798447,0.00610367866993493,0.00495415897115834,"776/6750/10846/5140",4
"Organismal Systems","Nervous system","hsa04727","GABAergic synapse","3/13","89/9378",0.0337078651685393,24.3163353500432,8.23418382392031,0.000220614891684395,0.00610367866993493,0.00495415897115834,"776/2567/3763",3
"Organismal Systems","Endocrine system","hsa04935","Growth hormone synthesis, secretion and action","3/13","122/9378",0.0245901639344262,17.7389659520807,6.93340567585572,0.000558551260446532,0.0106692928826879,0.00865992066572008,"776/53358/6750",3
"Metabolism","Nucleotide metabolism","hsa00230","Purine metabolism","3/13","128/9378",0.0234375,16.9074519230769,6.75125452079439,0.000642728486908912,0.0106692928826879,0.00865992066572008,"956/10846/5140",3
"Organismal Systems","Nervous system","hsa04723","Retrograde endocannabinoid signaling","3/13","149/9378",0.0201342281879195,14.5245224574084,6.19994010369957,0.00100018248669769,0.0138358577326514,0.0112301191488864,"776/2567/3763",3
"Organismal Systems","Endocrine system","hsa04929","GnRH secretion","2/13","65/9378",0.0307692307692308,22.196449704142,6.38888020696644,0.00351251402239939,0.0409744636035803,0.0332576495958039,"776/3763",2
"Organismal Systems","Endocrine system","hsa04924","Renin secretion","2/13","69/9378",0.0289855072463768,20.9096989966555,6.18425612320489,0.00394934588950171,0.0409744636035803,0.0332576495958039,"776/5140",2
