"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0002181","cytoplasmic translation","24/179","160/18888",0.15,15.8279329608939,18.4237326549815,3.92427947357641e-22,8.06439431819951e-19,7.97661438260636e-19,"RPL17/RPL15/RPS7/RPL3/RPS27/RPL39/RPL38/RPS25/RPL5/RPS14/RPS28/RPL21/RPS8/RPL13/RPL24/RPL12/RPL26/RPS27A/RPL41/RPS18/RPS3A/RPL34/RPL19/RPL7",24
"GO:0042254","ribosome biogenesis","13/179","319/18888",0.0407523510971787,4.30016987443302,5.81460338921354,1.15346920489384e-05,0.0115257992095802,0.0114003423094887,"RPS7/RPS27/RPL38/RPS25/RPL5/FASTKD2/RPS14/RPS28/RBFA/RPS8/RPL26/RPS3A/RPL7",13
"GO:0034470","ncRNA processing","15/179","433/18888",0.0346420323325635,3.65541176925955,5.46766021045383,1.68259842475623e-05,0.0115257992095802,0.0114003423094887,"RPS7/TARBP1/RPS27/RPS25/RPL5/RPS14/RPS28/RBFA/RPS8/OSGEP/RPL26/INTS10/RIPK1/ELP2/RPL7",15
"GO:0042255","ribosome assembly","6/179","62/18888",0.0967741935483871,10.2115696521896,7.10613045499964,2.63739926502293e-05,0.0135496387240553,0.0134021525809455,"RPS27/RPL38/RPL5/FASTKD2/RPS14/RPS28",6
"GO:0042274","ribosomal small subunit biogenesis","7/179","103/18888",0.0679611650485437,7.17123176221728,6.14281714256239,5.62680319094192e-05,0.0194146308461104,0.0192033049885206,"RPS7/RPS27/RPS25/RPS14/RPS28/RPS8/RPS3A",7
"GO:0006364","rRNA processing","10/179","224/18888",0.0446428571428571,4.71069433359936,5.4646146928076,5.6685053565286e-05,0.0194146308461104,0.0192033049885206,"RPS7/RPS27/RPS25/RPL5/RPS14/RPS28/RBFA/RPS8/RPL26/RPL7",10
"GO:0022613","ribonucleoprotein complex biogenesis","15/179","499/18888",0.030060120240481,3.17193045308494,4.80949911611557,8.4921420596596e-05,0.0249305027608578,0.0246591373191018,"RPS7/LUC7L2/SNRPA1/RPS27/RPL38/RPS25/RPL5/FASTKD2/RPS14/RPS28/RBFA/RPS8/RPL26/RPS3A/RPL7",15
