"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0019693","ribose phosphate metabolic process","68/1179","480/18888",0.141666666666667,2.26955046649703,7.26956893182483,1.73545704110514e-10,2.5516641807499e-08,2.44904957445429e-08,"PDE10A/PDE5A/ATP5IF1/HINT1/LDHA/ATP5PF/PGAM1/NDUFB8/TMSB4X/NDUFA1/NDUFA5/ATP5MC2/ATP5PD/ACSM6/ENO2/NDUFA12/SDHA/ANTKMT/ATP5MC1/ATP5MC3/NDUFB10/RPE/NDUFB2/ATP5MF/PRKAG2/ATP5F1A/NDUFC1/ATP5F1B/PRKAG1/NDUFS5/NDUFA7/PINK1/TKT/PDHB/ZBTB7A/MCCC2/MFN1/TGFB1/RAN/NME2/DLST/ATP5F1C/NUDT9/ATP5PB/PRPS1/NDUFB5/HSPA8/GART/ATP5F1E/NDUFAB1/NDUFB4/SUCLA2/TALDO1/MPC2/ATIC/FIS1/NDUFA2/NDUFC2/DNAJC30/PPCS/NME6/ALDOC/NDUFB11/NDUFS6/RFK/ATP5PO/PIPOX/PDE4B",68
"GO:0009165","nucleotide biosynthetic process","48/1179","293/18888",0.16382252559727,2.62449521923768,7.23095285770658,7.27240510957419e-10,1.01061160192836e-07,9.69970081609183e-08,"ATP5PF/NDUFB8/TMSB4X/NDUFA1/TK2/NDUFA5/ATP5MC2/ACMSD/ATP5PD/NDUFA12/SDHA/ANTKMT/ATP5MC1/ATP5MC3/NDUFB10/NDUFB2/ATP5MF/PRKAG2/ATP5F1A/NDUFC1/TBPL1/ATP5F1B/NDUFS5/NDUFA7/PINK1/PDHB/RRM2B/TGFB1/NME2/ATP5F1C/ATP5PB/PRPS1/NDUFB5/GART/ATP5F1E/NDUFAB1/NDUFB4/MPC2/ATIC/NDUFA2/NDUFC2/DNAJC30/PPCS/NME6/NDUFB11/NDUFS6/RFK/ATP5PO",48
"GO:0034470","ncRNA processing","62/1179","433/18888",0.143187066974596,2.29390782104849,7.02799809528651,7.30303814358429e-10,1.01061160192836e-07,9.69970081609183e-08,"TARBP1/RPS27/RPL26/RPS14/RPS25/RPL7A/RPP38/RPL35A/TRMT9B/RPL5/RPS7/RPS24/WDR75/RPS8/RPL11/RPS21/RPS15/RPL7/RPL10A/RPS19/DDX18/TRMT10B/RIPK1/DDX1/RPS28/OSGEP/RBFA/RPL14/ADAT2/WDR12/WBP11/RPL27/SSB/RPS6/WDR43/TGFB1/WDR36/NCBP1/SNU13/PA2G4/TSR2/WDR3/RPP21/C2orf49/RPS16/NOP9/ELP6/RPL35/FRG1/ERI2/TRMO/LAGE3/NOL7/TRMT112/POP7/ALKBH8/MPHOSPH10/TRNT1/PDCD11/ELAC2/FAM98A/RIOK2",62
"GO:0006164","purine nucleotide biosynthetic process","44/1179","256/18888",0.171875,2.75349872773537,7.28848180157521,7.94881960044458e-10,1.06854846343119e-07,1.02557702514007e-07,"ATP5PF/NDUFB8/TMSB4X/NDUFA1/NDUFA5/ATP5MC2/ACMSD/ATP5PD/NDUFA12/SDHA/ANTKMT/ATP5MC1/ATP5MC3/NDUFB10/NDUFB2/ATP5MF/PRKAG2/ATP5F1A/NDUFC1/ATP5F1B/NDUFS5/NDUFA7/PINK1/PDHB/TGFB1/NME2/ATP5F1C/ATP5PB/PRPS1/NDUFB5/GART/ATP5F1E/NDUFAB1/NDUFB4/MPC2/ATIC/NDUFA2/NDUFC2/DNAJC30/PPCS/NME6/NDUFB11/NDUFS6/ATP5PO",44
"GO:1901293","nucleoside phosphate biosynthetic process","48/1179","295/18888",0.16271186440678,2.60670203131065,7.1765049679636,9.19137699681641e-10,1.17849185531294e-07,1.13109906802227e-07,"ATP5PF/NDUFB8/TMSB4X/NDUFA1/TK2/NDUFA5/ATP5MC2/ACMSD/ATP5PD/NDUFA12/SDHA/ANTKMT/ATP5MC1/ATP5MC3/NDUFB10/NDUFB2/ATP5MF/PRKAG2/ATP5F1A/NDUFC1/TBPL1/ATP5F1B/NDUFS5/NDUFA7/PINK1/PDHB/RRM2B/TGFB1/NME2/ATP5F1C/ATP5PB/PRPS1/NDUFB5/GART/ATP5F1E/NDUFAB1/NDUFB4/MPC2/ATIC/NDUFA2/NDUFC2/DNAJC30/PPCS/NME6/NDUFB11/NDUFS6/RFK/ATP5PO",48
"GO:0009150","purine ribonucleotide metabolic process","63/1179","446/18888",0.141255605381166,2.26296511826926,6.96459954645461,9.26762989300295e-10,1.17849185531294e-07,1.13109906802227e-07,"PDE10A/PDE5A/ATP5IF1/HINT1/LDHA/ATP5PF/PGAM1/NDUFB8/TMSB4X/NDUFA1/NDUFA5/ATP5MC2/ATP5PD/ACSM6/ENO2/NDUFA12/SDHA/ANTKMT/ATP5MC1/ATP5MC3/NDUFB10/NDUFB2/ATP5MF/PRKAG2/ATP5F1A/NDUFC1/ATP5F1B/PRKAG1/NDUFS5/NDUFA7/PINK1/PDHB/ZBTB7A/MCCC2/MFN1/TGFB1/RAN/NME2/DLST/ATP5F1C/NUDT9/ATP5PB/NDUFB5/HSPA8/GART/ATP5F1E/NDUFAB1/NDUFB4/SUCLA2/MPC2/ATIC/FIS1/NDUFA2/NDUFC2/DNAJC30/PPCS/NME6/ALDOC/NDUFB11/NDUFS6/ATP5PO/PIPOX/PDE4B",63
"GO:0072522","purine-containing compound biosynthetic process","44/1179","264/18888",0.166666666666667,2.67005937234945,7.05080602144132,2.14728060697188e-09,2.5923902062518e-07,2.48813781191794e-07,"ATP5PF/NDUFB8/TMSB4X/NDUFA1/NDUFA5/ATP5MC2/ACMSD/ATP5PD/NDUFA12/SDHA/ANTKMT/ATP5MC1/ATP5MC3/NDUFB10/NDUFB2/ATP5MF/PRKAG2/ATP5F1A/NDUFC1/ATP5F1B/NDUFS5/NDUFA7/PINK1/PDHB/TGFB1/NME2/ATP5F1C/ATP5PB/PRPS1/NDUFB5/GART/ATP5F1E/NDUFAB1/NDUFB4/MPC2/ATIC/NDUFA2/NDUFC2/DNAJC30/PPCS/NME6/NDUFB11/NDUFS6/ATP5PO",44
"GO:0009259","ribonucleotide metabolic process","64/1179","466/18888",0.137339055793991,2.20022059867422,6.76903904405572,2.14884629211095e-09,2.5923902062518e-07,2.48813781191794e-07,"PDE10A/PDE5A/ATP5IF1/HINT1/LDHA/ATP5PF/PGAM1/NDUFB8/TMSB4X/NDUFA1/NDUFA5/ATP5MC2/ATP5PD/ACSM6/ENO2/NDUFA12/SDHA/ANTKMT/ATP5MC1/ATP5MC3/NDUFB10/NDUFB2/ATP5MF/PRKAG2/ATP5F1A/NDUFC1/ATP5F1B/PRKAG1/NDUFS5/NDUFA7/PINK1/PDHB/ZBTB7A/MCCC2/MFN1/TGFB1/RAN/NME2/DLST/ATP5F1C/NUDT9/ATP5PB/NDUFB5/HSPA8/GART/ATP5F1E/NDUFAB1/NDUFB4/SUCLA2/MPC2/ATIC/FIS1/NDUFA2/NDUFC2/DNAJC30/PPCS/NME6/ALDOC/NDUFB11/NDUFS6/RFK/ATP5PO/PIPOX/PDE4B",64
"GO:0006120","mitochondrial electron transport, NADH to ubiquinone","17/1179","51/18888",0.333333333333333,5.3401187446989,8.00796570892103,5.75972113869929e-09,6.77487198939504e-07,6.50242202237367e-07,"NDUFB8/NDUFA1/NDUFA4/NDUFA5/ISCU/NDUFB10/NDUFB2/NDUFC1/NDUFS5/NDUFA7/PINK1/NDUFB5/NDUFAB1/NDUFB4/NDUFA2/NDUFC2/NDUFS6",17
"GO:0016072","rRNA metabolic process","43/1179","266/18888",0.161654135338346,2.58975683483518,6.7375147926308,8.40465429490878e-09,9.64485328232825e-07,9.25698765729363e-07,"RPS27/RPL26/RPS14/RPS25/RPL7A/RPP38/RPL35A/RPL5/RPS7/RPS24/WDR75/RPS8/RPL11/RPS21/RPS15/RPL7/RPL10A/RPS19/DDX18/RPS28/RBFA/RPL14/WDR12/WBP11/RPL27/RPS6/WDR43/WDR36/SNU13/PA2G4/TSR2/WDR3/RPS16/NOP9/RPL35/FRG1/ERI2/NOL7/TRMT112/POP7/MPHOSPH10/PDCD11/RIOK2",43
