"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Genetic Information Processing","Translation","hsa03010","Ribosome","17/66","223/9378",0.0762331838565022,10.8320423970648,12.5097733688837,1.21160907572907e-13,1.90222624889464e-11,1.78552916423231e-11,"6171/6232/6161/6137/6206/6147/2197/6138/6152/6210/64968/6143/6230/6122/6154/6130/6135",17
"Human Diseases","Infectious disease: viral","hsa05171","Coronavirus disease - COVID-19","17/66","239/9378",0.0711297071129707,10.1068847470521,12.0060982853464,3.78875262186392e-13,2.97417080816318e-11,2.79171245821552e-11,"6171/6232/6161/6137/5336/6206/6147/2197/6138/6152/6210/6143/6230/6122/6154/6130/6135",17
"Organismal Systems","Digestive system","hsa04978","Mineral absorption","4/66","61/9378",0.0655737704918033,9.31743666169896,5.4865433405963,0.000864065387565544,0.0452194219492634,0.0424453172839214,"2495/4502/4501/2512",4
