"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0034351","negative regulation of glial cell apoptotic process","2/15","10/18888",0.2,251.84,22.3679122831196,2.63929677441084e-05,0.00791572297167371,0.00490437118407911,"PRKCA/PRKCH",2
"GO:0034350","regulation of glial cell apoptotic process","2/15","11/18888",0.181818181818182,228.945454545455,21.319030002163,3.22432707603817e-05,0.00791572297167371,0.00490437118407911,"PRKCA/PRKCH",2
"GO:0034349","glial cell apoptotic process","2/15","16/18888",0.125,157.4,17.6438934257029,7.01877204526739e-05,0.011487390247421,0.00711728112660447,"PRKCA/PRKCH",2
"GO:0045766","positive regulation of angiogenesis","3/15","187/18888",0.0160427807486631,20.2010695187166,7.43910104764225,0.000398035199627646,0.0409503610627327,0.0253717533436161,"PRKCA/CX3CR1/CHI3L1",3
"GO:1904018","positive regulation of vasculature development","3/15","190/18888",0.0157894736842105,19.8821052631579,7.37456294531717,0.000417009786789539,0.0409503610627327,0.0253717533436161,"PRKCA/CX3CR1/CHI3L1",3
